UF,Sigla,Pedido,Depósito,Título,Linguagem,Campo de Aplicação,Tipo Programa,Nome do Titular:,Nome do Autor,Nome do Procurador:,,
Ceará,UECE,BR 51 2023 003240 9,26/10/2023,UroHemato App,HTML / JAVA SCRIPT / OUTROS, SD-03/ SD-05/ SD-08/ SD-09,"AP-01, DS-04, TC-01",FUNDAÇÃO UNIVERSIDADE ESTADUAL DO CEARÁ - FUNECE,MANOEL MIQUEIAS MAIA / RAFAEL PAIVA ARRUDA / ROMMEL PRATA REGADAS,-,,
Ceará,UECE,BR 51 2023 003235 2,25/10/2023,MonTh: Automated Monitoring of IP Threats,PYTHON,TC-04,PD-01,FUNDAÇÃO UNIVERSIDADE ESTADUAL DO CEARÁ - FUNECE, ARTHUR CORDEIRO URBANO / RAFAEL LOPES GOMES,-,,
Ceará,UECE,BR 51 2023 003232 8,25/10/2023,SoPhiD: Software for Phishing Detection,JAVA SCRIPT / PYTHON,  IF-09/ IF-10/ IN-02," IA-01, PD-01, TC-01",FUNDAÇÃO UNIVERSIDADE ESTADUAL DO CEARÁ - FUNECE, LEONARDO SAMPAIO ROCHA / RHAYANE DA SILVA MONTEIRO,-,,
Ceará,UECE,BR 51 2023 001538 5,02/06/2023,SJud - Sistema de acompanhamento as demandas judiciais de medicamentos e insumos,OUTROS/ PHP,AD-08 / SD-10, GI-06,FUNDAÇÃO UNIVERSIDADE ESTADUAL DO CEARÁ - FUNECE, MARIA SALETE BESSA JORGE / PAULO HENRIQUE MENDES MAIA / SINARA ALVES TOMÁS,-,,
Ceará,UECE,BR 51 2023 001383 8,17/05/2023,IoT-ID: Identificação de Dispositivos IoT usando Dados de Rede Anonimizados,PYTHON,TC-02/ TC-04,"IA-01, PD-01, TI-04",FUNDAÇÃO UNIVERSIDADE ESTADUAL DO CEARÁ - FUNECE, ARIEL LIMA DE CARVALHO PORTELA / RAFAEL DE ALMEIDA MENEZES / RAFAEL LOPES GOMES / WANDERSON LEONARDO COSTA,-,,
Ceará,UECE,BR 51 2023 001380 3,17/05/2023,PPM-Anon: Permutation and Proprieties Maintenance Anonymization,PYTHON,TC-04,PD-01,FUNDAÇÃO UNIVERSIDADE ESTADUAL DO CEARÁ - FUNECE,MATHEUS MONTEIRO SILVEIRA / RAFAEL LOPES GOMES,-,,
Ceará,UECE,BR 51 2023 001372 2,16/05/2023,SSE-DB: Searchable Symmetric Enrcryption for Databases,PYTHON,TC-04,PD-01,FUNDAÇÃO UNIVERSIDADE ESTADUAL DO CEARÁ - FUNECE,DANIELLE DOS SANTOS SILVA / MATHEUS MONTEIRO SILVEIRA / RAFAEL LOPES GOMES,-,,
Ceará,UECE,BR 51 2023 001370 6,16/05/2023,Disfunção erétil no consultório APP, HTML / JAVA SCRIPT / OUTROS / PHP,  SD-03/ SD-05/ SD-08 / SD-09," AP-01, DS-04, TC-01",FUNDAÇÃO UNIVERSIDADE ESTADUAL DO CEARÁ - FUNECE, LUÍS ANTÔNIO LIMA SOLON / MANOEL MIQUEIAS MAIA / ROMMEL PRATA REGADAS / RÔMULO AUGUSTO DA SILVEIRA,-,,
Ceará,UECE,BR 51 2023 001369 2,16/05/2023,www.deltanolab.net,OUTROS,ED-06/ IF-04/ SD-06,"FA-01, GI-01",FUNDAÇÃO UNIVERSIDADE ESTADUAL DO CEARÁ - FUNECE,GILVAN MORAIS NETO LIRA / MARIA SALETE BESSA JORGE / PAULO HENRIQUE MENDES MAIA,-,,
Ceará,UECE,BR 51 2023 000819 2,23/03/2023,Humanizagestor.com_Portal de Implementação da Politica Nacional de Humanização em saúde bucal, JAVA SCRIPT / OUTROS / PHP,SD-02,TC-01,FUNDAÇÃO UNIVERSIDADE ESTADUAL DO CEARÁ - FUNECE,HAROLDO CASTRO DE ALCANTARA / RAQUEL SAMPAIO FLORÊNCIO,-,,
Ceará,UECE,BR 51 2023 000544 4,08/03/2023,eHealthSys Visualização de Dados,JAVA SCRIPT,SD-01/ SD-02/ SD-05/ SD-06,"AV-02, GI-03",FUNDAÇÃO UNIVERSIDADE ESTADUAL DO CEARÁ - FUNECE,DIEGO ALYSSON BRAGA MOREIRA / JOAQUIM CELESTINO JÚNIOR / KÍLVIA LETÍCIA DE ABREU ALMEIDA / LEVY GURGEL CHAVES / MATEUS RODRIGUES LIMA / RAFAEL LOPES GOMES / SAMUEL FAÇANHA CÂMARA / THIAGO PINHO SERPA,-,,
Ceará,UECE,BR 51 2023 000543 6,08/03/2023,eHealthSys Comunicação de Dados,PYTHON,SD-01/ SD-02/ SD-05/ SD-06,"CD-01, GI-08, SO-04",FUNDAÇÃO UNIVERSIDADE ESTADUAL DO CEARÁ - FUNECE,DIEGO ALYSSON BRAGA MOREIRA / JOAQUIM CELESTINO JÚNIOR / KÍLVIA LETÍCIA DE ABREU ALMEIDA / LEVY GURGEL CHAVES / MATEUS RODRIGUES LIMA / RAFAEL LOPES GOMES / SAMUEL FAÇANHA CÂMARA / THIAGO PINHO SERPA,-,,
Ceará,UECE,BR 51 2023 000542 8,08/03/2023,eHealthSys Coleta de Dados,C,SD-01/ SD-02/ SD-05/ SD-06,"CD-04, SO-02, T1-03",FUNDAÇÃO UNIVERSIDADE ESTADUAL DO CEARÁ - FUNECE,DIEGO ALYSSON BRAGA MOREIRA / JOAQUIM CELESTINO JÚNIOR / KÍLVIA LETÍCIA DE ABREU ALMEIDA / LEVY GURGEL CHAVES / MATEUS RODRIGUES LIMA / RAFAEL LOPES GOMES / SAMUEL FAÇANHA CÂMARA / THIAGO PINHO SERPA,-,,
Ceará,UECE,BR 51 2022 002696 1,27/09/2022,MicroMon: Plataforma baseada em Microsserviços para Coleta e Compartilhamento de Medições de Rede,PYTHON, IF-01/ IF-10,"GI-06, GI-08, PD-04",FUNDAÇÃO UNIVERSIDADE ESTADUAL DO CEARÁ - FUNECE,ADRILENE PESSOA DA FONSECA / ARTHUR CORDEIRO URBANO / DENIS MENEZES DE SOUSA / MATHEUS MONTEIRO SILVEIRA / PAULO HENRIQUE MENDES MAIA / RAFAEL LOPES GOMES,-,,
Ceará,UECE,BR 51 2022 002465 9,06/09/2022,PyNetFlow: Uma ferramenta para visualização e análise de tráfego,PYTHON,TC-04,AV-01,FUNDAÇÃO UNIVERSIDADE ESTADUAL DO CEARÁ - FUNECE,LUCAS JOSÉ PEREIRA DE ARAÚJO / RAFAEL LOPES GOMES,-,,
Ceará,UECE,BR 51 2022 002274 5,22/08/2022,UroHPB,CSS / HTML / JAVA SCRIPT / OUTROS,SD-05,AP-01,FUNDAÇÃO UNIVERSIDADE ESTADUAL DO CEARÁ - FUNECE,  BRUNO MOREIRA MAPURUNGA / MANOEL MIQUEIAS MAIA / ROMMEL PRATA REGADAS,-,,
Ceará,UECE,BR 51 2022 002269 9,22/08/2022,Hashing de Dados em Dispositivos IoT de Baixa Capacidade Computacional,C, AD-06 / TC-02/ TC-04,PD-01,FUNDAÇÃO UNIVERSIDADE ESTADUAL DO CEARÁ - FUNECE, EDUARDO ESTEVAM PIMENTEL MOSCA / RAFAEL LOPES GOMES,-,,
Ceará,UECE,BR 51 2022 001318 5,31/05/2022,MIC: Algoritmo de Mitigação da Interferência Cruzada em Ambientes Inteligentes,JAVA, AH-02/ IN-01/ IN-02/ TC-04,FA-01,FUNDAÇÃO UNIVERSIDADE ESTADUAL DO CEARÁ - FUNECE, FRANCISCO ALEXANDRE ARAÚJO ROCHA / RAFAEL LOPES GOMES,-,,
Ceará,UECE,BR 51 2022 001300 2,30/05/2022,SISPRAIA: Sistema Integrado para Gestão Ambiental Pública de Praias,JAVA SCRIPT,AD-02/ AD-04/ MA-01/ MA-02,AV-01,FUNDAÇÃO UNIVERSIDADE ESTADUAL DO CEARÁ - FUNECE,FRANCISCO EDMAR DE SOUSA SILVA PINHEIRO / FÁBIO PERDIGÃO VASCONCELOS / OTÁVIO AUGUSTO DE OLIVEIRA LIMA BARRA,-,,
Ceará,UECE,BR 51 2022 001172 7,18/05/2022,GERIS UTI,OUTROS,SD-05,AP-01,FUNDAÇÃO UNIVERSIDADE ESTADUAL DO CEARÁ - FUNECE,CASSIO PINHEIRO OLIVEIRA / HENRIQUE JORGE MAIA COSTA / HERLENIA DA PENHA OLIVEIRA CAVALCANTE / NEY RÔMULO DE OLIVEIRA PAULA / PAULO IURY PINHEIRO DA ROCHA,-,,
Ceará,UECE,BR 51 2022 000909 9,27/04/2022,LEPEN - Letramento sobre Pé Neuropático, CSS / HTML / PHP,SD-03,GI-01,FUNDAÇÃO UNIVERSIDADE ESTADUAL DO CEARÁ - FUNECE,NATÁLIA AGUIAR MORAES VITORIANO / THEREZA MARIA MAGALHÃES MOREIRA,-,,
Ceará,UECE,BR 51 2022 000650 2,24/03/2022,Gestão - SAE,JAVA SCRIPT,BL-01/ BL-05/ BL-06/ SD-02/ SD-05/ SD-06/ SD-07/ SD-08,"AP-01, FA-01",FUNDAÇÃO UNIVERSIDADE ESTADUAL DO CEARÁ - FUNECE, ADRIANO RODRIGUES DE SOUSA / FRANCISCO JOSÉ DO NASCIMENTO JÚNIOR,-,,
Ceará,UECE,BR 51 2022 000354 6,17/02/2022,App Lean Quality,OUTROS,AD-01,AP-01,FUNDAÇÃO UNIVERSIDADE ESTADUAL DO CEARÁ - FUNECE,FRANCISCO LEON TORRES DE SOUSA / MARIA SALETE BESSA JORGE,-,,
Ceará,UECE,BR 51 2021 003166 0,22/12/2021,Jogo da Memória Frutífero,PYTHON,CO-03/ ED-01/ ED-04,DS-04,FUNDAÇÃO UNIVERSIDADE ESTADUAL DO CEARÁ - FUNECE, ANTÔNIA CHIRLENE EVANGELISTA FERREIRA / CARLIENE JORGE DA SILVA / JOSÉ ROGÉRIO DE OLIVEIRA / MATHEUS COSTA GRANJA / REGINA CLÁUDIA PINHEIRO,-,,
Ceará,UECE,BR 51 2021 003126 1,17/12/2021,App Jogo da Memória Frutífero,JAVA,CO-03/ ED-01/ ED-04,DS-04,FUNDAÇÃO UNIVERSIDADE ESTADUAL DO CEARÁ - FUNECE,ANTÔNIA CHIRLENE EVANGELISTA FERREIRA / CARLIENE JORGE DA SILVA / JOSÉ ROGÉRIO DE OLIVEIRA / MATHEUS COSTA GRANJA / REGINA CLÁUDIA PINHEIRO,-,,
Ceará,UECE,BR 51 2021 002816 3,25/11/2021,LeVoA - Leitura para Voar sem Asas,PYTHON,CO-03/ ED-01/ ED-04,"DS-04, ET-01",FUNDAÇÃO UNIVERSIDADE ESTADUAL DO CEARÁ - FUNECE, ANTÔNIA ALCILÂNEA DE ASSIS OLIVEIRA / ANTÔNIA CHIRLENE EVANGELISTA FERREIRA / ANTÔNIO NILBERTO GONÇALVES DE OLIVEIRA / CARLIENE JORGE DA SILVA / JAMILE MARIA DA COSTA PEDROSA / JOSÉ ROGÉRIO DE OLIVEIRA / MATHEUS COSTA GRANJA / REGINA CLÁUDIA PINHEIRO,-,,
Ceará,UECE,BR 51 2021 001552 5,08/07/2021,AppLeVoA - Aplicativo Leitura para Voar sem Asas,JAVA,CO-03/ ED-01/ ED-04,AP-01,FUNDAÇÃO UNIVERSIDADE ESTADUAL DO CEARÁ - FUNECE, ANTONIO NILBERTO GONÇALVES DE OLIVEIRA / ANTÔNIA ALCILÂNEA DE ASSIS OLIVEIRA / ANTÔNIA CHIRLENE EVANGELISTA FERREIRA / CARLIENE JORGE DA SILVA / JAMILE MARIA DA COSTA PEDROSA / JOSÉ ROGÉRIO DE OLIVEIRA / MATHEUS COSTA GRANJA / REGINA CLÁUDIA PINHEIRO,-,,
