Sigla,Pedido,Depósito,Título,Linguagem,Campo de Aplicação,Tipo Programa,Nome do Titular:,Nome do Autor,Nome do Procurador:,,
UFPI,BR 51 2015 000524 3,25/05/2015,USESKILL,JAVA / JAVASCRIPT, IF-02 / IF-07 / IF-10 / IN-02," AT-06 , FA-01 , GI-04", UNIVERSIDADE FEDERAL DO PIAUÍ, CLEITON DOS SANTOS MOURA / MATHEUS DE MENEZES CAMPANHÃ SOUZA / PEDRO ALMIR MARTINS DE OLIVEIRA / PEDRO DE ALCÂNTARA DOS SANTOS NETO,,,
UFPI,BR 51 2015 000523 5,21/05/2015,SELF, JAVA,  IF-02 / IF-07 / IF-10 / IN-02," AP-01 , DS-06 , FA-01 , IT-02 , TC-01", UNIVERSIDADE FEDERAL DO PIAUÍ, DENISE ALVES DA COSTA / PEDRO ALMIR MARTINS DE OLIVEIRA / PEDRO DE ALCÂNTARA DOS SANTOS NETO,,,
UFPI,BR 51 2015 000521 9,21/05/2015,ATHENA,JAVA / JAVASCRIPT,  IF-02 / IF-07 / IF-10 /IN-02," AP-01 , DS-01 , FA-01 , IA-01", UNIVERSIDADE FEDERAL DO PIAUÍ, MATHEUS DE MENEZES CAMPANHÃ SOUZA / PEDRO ALMIR MARTINS DE OLIVEIRA / PEDRO DE ALCÂNTARA DOS SANTOS NETO,,,
UFPI,BR 51 2014 001140 2,24/09/2014,IPNOSYS II PACKET GENERATOR,JAVA,IF-10 Genérico (processamento de dados).,"DS-01 , DS-06", UNIVERSIDADE FEDERAL DO PIAUÍ,IVAN SARAIVA SILVA / THIAGO RODRIGUES BARROS DA SILVA SOARES,,,
UFPI,BR 51 2014 001145 3,24/09/2014,GEHAGRI ASPERSÃO,LAZARUS, AG-06, AP-01, UNIVERSIDADE FEDERAL DO PIAUÍ, JOSÉ ORLANDO PIAUILINO FERREIRA / MAURÍCIO RIBEIRO SENA,,,
UFPI,BR 51 2014 001144 5,24/09/2014,UVMP - A&A,HTML / JAVASCRIPT / PHP, CO-02 / IF-10," DS-01 , DS-06 , SO-02", UNIVERSIDADE FEDERAL DO PIAUÍ,EUGÊNIO SOUZA CARVALHO / IVAN SARAIVA SILVA,,,
UFPI,BR 51 2014 001141 0,24/09/2014,SILENCE ZONE, OBJECTIVE C,  TC-02," AP-01 , UT-01", UNIVERSIDADE FEDERAL DO PIAUÍ,ANDRÉ CASTELO BRANCO SOARES / RONIEL SOARES DE SOUSA / SEBASTIÃO GALEANO PEREIRA FILHO,,,
UFPI,BR 51 2014 001143 7,24/09/2014,GEHAGRI LOCALIZADA, LAZARUS, AG-06, AP-01 , UNIVERSIDADE FEDERAL DO PIAUÍ,JOSÉ ORLANDO PIAUILINO FERREIRA / MAURÍCIO RIBEIRO SENA,,,
UFPI,BR 51 2014 001142 9,24/09/2014,EPVIX HLA,RUBY, IF-10 / IN-02 / SD-06," AT-01 , FA-01", UNIVERSIDADE FEDERAL DO PIAUÍ, ADALBERTO SOCORRO DA SILVA / LUIZ CLAUDIO DEMES DA MATA SOUSA / SEMIRAMIS JAMIL HADAD DO MONTE,,,
UFPI,BR 51 2014 000938 6,30/07/2014,DIESMAGNA, HTML / JAVA / JAVASCRIPT, SD-10, IA-02, UNIVERSIDADE FEDERAL DO PIAUÍ,ANA PAULA DOS SANTOS CORREIA LIMA DA SILVA / JOSÉ CARLOS CORREIA LIMA DA SILVA FILHO / RIVELILSON MENDES DE FREITAS,,,
UFPI,BR 51 2014 000939 4,30/07/2014,ALMOXFAR, HTML / JAVA / JAVASCRIPT,SD-10,IA-02, UNIVERSIDADE FEDERAL DO PIAUÍ,ANA PAULA DOS SANTOS CORREIA LIMA DA SILVA / JOSÉ CARLOS CORREIA LIMA DA SILVA FILHO / RIVELILSON MENDES DE FREITAS,,,
UFPI,BR 51 2014 000805 3,15/07/2014,GEHAGRI PIVÔ,LAZARUS,  AG-06, AP-01, UNIVERSIDADE FEDERAL DO PIAUÍ,JOSÉ ORLANDO PIAUILINO FERREIRA / MAURÍCIO RIBEIRO SENA,,,
UFPI,BR 51 2013 000693 7,18/06/2013,UVMP-SSC - UFPI`S VIRTUALIZABLE MULTI-CORE PROCESSOR,VHDL, CO-02 / ED-04, CD-02, UNIVERSIDADE FEDERAL DO PIAUÍ,	  IVAN SARAIVA SILVA / RAMON SANTOS NEPOMUCENO,,,
UFPI,14164-0,29/10/2012,EPHLA CONVERTER,  PYTHON ,IF-10 / IN-02 / SD-06," AT-01 , FA-01", UNIVERSIDADE FEDERAL DO PIAUÍ, ADALBERTO SOCORRO DA SILVA / JOSÉ RENATO PEREIRA DE MOURA BARROSO / LUIZ CLAUDIO DEMES DA MATA SOUSA / SEMIRAMIS JAMIL HADAD DO MONTE,,,
UFPI,13341-5,22/05/2012,PREVENT,JAVA, SD-06 / SD-07 / SD-08 / SD-09," AP-01 , IA-02 , UT-01", UNIVERSIDADE FEDERAL DO PIAUÍ,CARLOS HENRIQUE NERY COSTA / DORCAS LAMOUNIER COSTA / ELDO DE BRITO FERREIRA CHAVES,,,
UFPI,12412-4,28/09/2011,TEST2DOC, JAVA, IF-01 / IF-02 / IF-07 / IF-10 / IN-02," DS-07 , FA-01 , TC-01", UNIVERSIDADE FEDERAL DO PIAUÍ, ISMAYLE DE SOUSA SANTOS / PEDRO DE ALCÂNTARA DOS SANTOS NETO,,,
UFPI,12414-1,28/09/2011,FERRARE,JAVA, IF-01 / IF-07 / IF-10 / IN-02," DS-01 , FA-01 , TC-01", UNIVERSIDADE FEDERAL DO PIAUÍ,ISMAYLE DE SOUSA SANTOS / PEDRO DE ALCÂNTARA DOS SANTOS NETO,,,
UFPI,12153-6,11/08/2011,TCHANGEREPORT, JAVA, IF-01 / IF-02 / IF-07 / IF-10 / IN-02," AP-03 , DS-07 , FA-01 , TC-01", UNIVERSIDADE FEDERAL DO PIAUÍ,CLEITON DOS SANTOS MOURA / PEDRO DE ALCÂNTARA DOS SANTOS NETO / WILLAME PEREIRA DE OLIVEIRA,,,
UFPI,12154-1,11/08/2011,TWORK,JAVA,IF-01 / IF-02 / IF-07 / IF-10 / IN-02,"	 DS-01 , DS-04 , DS-07 , FA-01 , GI-01", UNIVERSIDADE FEDERAL DO PIAUÍ, PEDRO DE ALCÂNTARA DOS SANTOS NETO / WILLAME PEREIRA DE OLIVEIRA,,,
UFPI,11982-5,03/06/2011,XHLA, OBJECT PASCAL, IF-10 / SD-01 / SD-06 / SD-07,"AT-01 , FA-01", UNIVERSIDADE FEDERAL DO PIAUÍ,LUIZ CLAUDIO DEMES DA MATA SOUSA / SEMIRAMIS JAMIL HADAD DO MONTE,,,
UFPI,10734-2,05/05/2010,LABSYSTEM GEN,DELPHI / OBJECT PASCAL, BL-02 / IF-02 / IF-10,"DS-02 , GI-01 , GI-02 , GI-03 , GI-08", UNIVERSIDADE FEDERAL DO PIAUÍ,LUIZ CLAUDIO DEMES DA MATA SOUSA / SEMIRAMIS JAMIL HADAD DO MONTE,,,
IFPI ,BR 51 2023 002094 0,15/07/2023,Segmentador Automático de Regiões de Interesse em Imagens de Retinografia, PYTHON,  SD-01 / SD-06 / SD-07 / SD-08 (Saúde - Terapia - medicina - especialidades médicas), FA-01 (Ferramenta de Apoio),"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ", FERNANDO CASTELO BRANCO GONÇALVES SANTANA / PAULO ROBERTO BATISTA SOUSA FILHO / THIAGO ALVES ELIAS DA SILVA,-,,
IFPI ,BR 51 2023 002080 0,13/07/2023,Appraxi, OUTROS / PYTHON / SHELL SCRIPT,  SD-01 / SD-04 / SD-06,"  AP-01 , DS-04 , IA-01 , TC-03","INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ",  ANA CLAUDIA GALVÃO XAVIER / BRUNO MENDES DE CARVALHO CASTELO BRANCO / DALLA CRISTIANE SAMPAIO DE SOUSA PAULO / MARCELA SILAGI LIMA DE SIQUEIRA / MARINA BEZERRA DA SILVA / MARTA MARIA DA SILVA LIRA BATISTA / MATHEUS LEVI DA SILVA BARBOSA / OTILIO PAULO DA SILVA NETO / ROGÉRIO DA SILVA BATISTA / ROMERO ANTONIO RAMOS DE MENDONÇA / ROMULO CONSTANTINO SOUSA SILVA / TEMISTOCLES CARVALHO ZWANG / VALÉRIA OLIVEIRA COSTA / VINICIUS ROOSEVELT RODRIGUES BORGES / WERTON PEREIRA DA SILVA,-,,
IFPI ,BR 51 2023 001576 8,05/06/2023,Aplicativo de auxílio ao diagnóstico a varíola do macaco,JAVA / JAVA SCRIPT / PYTHON, SD-01 / SD-03 / SD-05 / SD-06,  FA-01 (Ferramenta de apoio),"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ",  ABRAÃO LIMA SOUSA / CHRISTIAN FELLIPE SILVA SANTOS / FERNANDO CASTELO BRANCO GONÇALVES SANTANA,-,,
IFPI ,BR 51 2023 001036 7,17/04/2023,Acompanhar: Família,  HTML / JAVA / JAVA SCRIPT / SQL, SD-01 / SD-03 / SD-05 / SD-06 (saúde - doença - assistencia médica - terapia),  FA-01 (Ferramenta de apoio),"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ",GUILHERME NONATO DE SÁ RIBEIRO / ANA CAROLINE RODRIGUES SANTANA / FERNANDO CASTELO BRANCO GONÇALVES SANTANA / THIAGO ALVES ELIAS DA SILVA,-,,
IFPI ,BR 51 2023 000696 3,15/03/2023,Open Schedule: uma plataforma Open Source para realização de agendamentos de consultas via chatbot,OUTROS / PYTHON / SQL, IN-02 (Tecnologia), AP-01 (Aplicativo),"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ",MARCOS PACHECO UCHOA / WERNEY AYALA LUZ LIRA / WILLAME PEREIRA DE OLIVEIRA,-,,
IFPI ,BR 51 2023 000500 2,03/03/2023,Localizador de Expressões e Manifestações Culturais Regionais Piauienses - LERCULT/PI, OUTROS,  AN-04 / CO-06 / ED-06 (Cultura - História - Educação)," AP-01 , GI-02 , GI-03 , GI-04 , GI-08 , TC-01 , TC-04 (Aplicativo - Gerenciador de banco de dados - Gerador de telas- Gerador de relatórios - Recuperação de dados - Aplicações Técnico científicas - Processamento de imagem)","INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ",JUSCELINO GOMES LIMA / PAULO SOBRINHO FERREIRA,-,,
IFPI ,BR 51 2023 000306 9,10/02/2023,LOCALIZADOR DE EXPRESSÕES E MANIFESTAÇÕES CULTURAIS REGIONAIS PIAUIENSES - LERCULT/PI, OUTROS, AN-04 / CO-06 / ED-06 ()," AP-01 , GI-02 , GI-03 , GI-04 , GI-08 , TC-01 , TC-04 (Aplicativo - Gerenciador de banco de dados - Gerador de telas- Gerador de relatórios - Recuperação de dados - Aplicações Técnico científicas - Processamento de imagem)","INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ", JUSCELINO GOMES LIMA / PAULO SOBRINHO FERREIRA,-,,
IFPI ,BR 51 2022 003050 0,04/11/2022,EcoReport,OUTROS,MA-04 (Qualidade de vida),AP-01 (Aplicativos),"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ",  CLÉBERT CLARK NUNES DA SILVA JÚNIOR / WILLAMYS RANGEL NUNES DE SOUZA,-,,
IFPI ,BR 51 2022 002268 0,22/08/2022,ALGORITMO DE VISÃO COMPUTACIONAL PARA IDENTIFICAÇÃO DE GALINHAS DA RAÇA CANELA-PRETA,PYTHON,AG-10 (Produção Animal ), TC-04 (Processamento de imagem),"FUNDACAO UNIVERSIDADE FEDERAL DO PIAUI - FUFPI / INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ",JOSÉ DOS SANTOS DE MOURA / NATANAEL PEREIRA DA SILVA SANTOS / OTÍLIO PAULO DA SILVA NETO / ÍCARO VICTOR FÉLIX CAMPELO,-,,
IFPI ,BR 51 2022 001747 4,08/07/2022,Welding Inclusion Identifier,JAVA," FQ-04 / FQ-18 / IF-03 / IN-03 / IN-05 (Metodologia, Quimica, Reprograf, Engenharia, Industria  de Transformação)","  DS-04 , TC-01 , TC-03 , TC-04 , UT-04 (Desenvolvimento de Sistemas com determ. metodologia - Aplicação Tecnico Cientificas - Reconhecimento de padrões - Processamento de imagem - Cassificador e Intercalador)","INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ", AYRTON DE SÁ BRANDIM / FRANCIÉRIC ALVES DE ARAÚJO / LUCAS SILVA COSTA,-,,
IFPI ,BR 51 2022 001746 6,08/07/2022,Welding Discontinuity Identifier,JAVA," FQ-04 / FQ-18 / IF-03 / IN-03 / IN-05 (Metodologia, Quimica, Reprograf, Engenharia, Industria  de Transformação)","  DS-04 , TC-01 , TC-03 , TC-04 , UT-04 (Desenvolvimento de Sistemas com determ. metodologia - Aplicação Tecnico Cientificas - Reconhecimento de padrões - Processamento de imagem - Cassificador e Intercalador)","INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ", AYRTON DE SÁ BRANDIM / FRANCIÉRIC ALVES DE ARAÚJO / LUCAS SILVA COSTA,-,,
IFPI ,BR 51 2022 001745 8,08/07/2022,Fusion Failure or Weld Penetration identifier,  C# / JAVA," FQ-04 / FQ-18 / IF-03 / IN-03 / IN-05 (Metodologia, Quimica, Reprograf, Engenharia, Industria  de Transformação)","  DS-04 , TC-01 , TC-03 , TC-04 , UT-04 (Desenvolvimento de Sistemas com determ. metodologia - Aplicação Tecnico Cientificas - Reconhecimento de padrões - Processamento de imagem - Cassificador e Intercalador)","INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ",AYRTON DE SÁ BRANDIM / FRANCIÉRIC ALVES DE ARAÚJO / LUCAS SILVA COSTA,-,,
IFPI ,BR 51 2022 000296 5,10/02/2022,VALORATIVO - Software de Valoração de Tecnologias,EXCEL / VISUAL BASIC, CO-02 (Ciência )," FA-04 , GI-01 , GI-04 (Geradores de Gráficos, Gerenciador de Informaçöes, Gerador de Relatórios)","INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ / UNIVERSIDADE FEDERAL DE SERGIPE - UFS",ANTONIO MARTINS DE OLIVEIRA JUNIOR / ROBSON ALMEIDA BORGES DE FREITAS,-,,
IFPI ,BR 51 2022 000295 7,10/2/2022,VALORATIVO - Software de Avaliação de Tecnologias,EXCEL / VISUAL BASIC, CO-02 (Ciência )," FA-04 , GI-01 , GI-04 (Geradores de Gráficos, Gerenciador de Informaçöes, Gerador de Relatórios)","INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ",  ANTONIO MARTINS DE OLIVEIRA JUNIOR / ROBSON ALMEIDA BORGES DE FREITAS,-,,
IFPI ,BR 51 2022 000294 9,10/02/2022,CLASSROOM PAINEL,DJANGO / PYTHON,"  ED-03 / ED-06 / IF-10 (Adm/Pr Ens Instituiçäo/Administraçäo/Processo de ensino, Educaçäo, Genérico)","FA-04 , GI-04 , GI-08 (Geradores de Gráficos, Gerador de Relatórios, Recuperaçäo de Dados)","INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ",EDUILSON LÍVIO NEVES DA COSTA CARNEIRO / FRANCISCO ALYSSON DA SILVA SOUSA,-,,
IFPI ,BR 51 2021 001452 9,29/06/2021,SisEgressos,PHP," ED-03/ ED-06/ IF-09 ( Adm/Pr Ens Instituiçäo/Administraçäo/Processo de ensino- Educaçäo- usuário, estudo e perfil do usuário)"," GI-0, SO-05 (Gerenciador de Informaçöes -  Gerenciador de Usuários )","INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ",ATHÂNIO DE SOUSA SILVEIRA / JACKS RENAN NEVES FERNANDES / JOÃO PAULO DA SILVA CARVALHO / TAWAN DE OLIVEIRA RODRIGUES MACIEL,-,,
IFPI ,BR 51 2021 000838 3,3/5/2021,Ovis,CSS / DJANGO / JAVA SCRIPT / OUTROS / PYTHON, IN-02 (Tecnologia),GI-01 (Gerenc Info - Gerenciador de Informaçöes),"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ",DIVINO DE SOUSA RODRIGUES / EWERTON COSTA SOUSA / MIKE CHRISTIAN DE SOUSA ARAUJO / WERNEY AYALA LUZ LIRA,-,,
IFPI ,BR 51 2021 000822 7,03/05/2021,SIGARG,OUTROS, AG-01/ AH-04/ GC-08/ IF-02/ MA-02 (Agricultura - ol As Hum Políticas de Assentamento Humanos - Mapeamento - Documentação -  Recurs Nat),"  FA-01 , FA-03 , GI-02 ()","INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ",ACILAYNE FREITAS DE AQUINO / ROBERTO ARRUDA LIMA SOARES / ÉRICO RODRIGUES GOMES,-,,
IFPI ,BR 51 2020 002837 3,15/12/2020,Image Processing Activated Carbon,JAVA, FQ-04/ FQ-18/ IF-03 / IN-03/ IN-05 (Metrologia - Quím Inorg - Reprograf - Engenharia -  Ind Transf Indústria de Transformaçäo)," AT-05, AT-06, AT-07 (Automaçäo Industrial - Controle de Processos - Automaçäo da Manufatura)","INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ",FRANCIÉRIC ALVES DE ARAÚJO / HENRIQUE MILLER ANDRADE GOMES / MARIA DE FÁTIMA SALGADO,-,,
IFPI ,BR 51 2020 002753 9,04/12/2020,Welding discontinuity identifier,JAVA, FQ-04/ FQ-18/ IF-03 / IN-03/ IN-05 (Metrologia - Quím Inorg - Reprograf - Engenharia -  Ind Transf Indústria de Transformaçäo),"  AP-01 , TC-01 , TC-04  (APLICATIVO - Aplicaçöes Técnico-Científicas - Processamento de Imagem)","INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ",AYRTON DE SÁ BRANDIM / FRANCIÉRIC ALVES DE ARAÚJO / LUCAS SILVA COSTA,-,,
IFPI ,BR 51 2020 001737 1,26/08/2020,CRISTALO, PYTHON,FQ-04 (Metrologia),"TC-03 , TC-04 (Reconhecimento de Padröes -  Processamento de Imagem)","INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ",AYRTON DE SÁ BRANDIM / ELTON SANTOS DIAS SALES / FRANCIÉRIC ALVES DE ARAÚJO,-,,
IFPI ,BR 51 2019 002316 1,16/10/2019,PREDICTED HLA THREE-DIMENSIONAL STRUCTURES DATABASE,RUBY," BL-07 / SD-09 (Bioquímica -  Eng Biomed Engenharia Biomédica, ciências paramédicas)",GI-01 Gerenc Info - Gerenciador de Informaçöes,"FUNDAÇÃO INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ / FUNDAÇÃO UNIVERSIDADE ESTADUAL DO PIAUÍ / UNIVERSIDADE FEDERAL DO PIAUÍ", ADALBERTO SOCORRO DA SILVA / ANTONIO GILBERTO BORGES COELHO / ANTONIO VANILDO DE SOUSA LIMA / DEYLANE MENEZES TELES E OLIVEIRA / FRANCISCO DAS CHAGAS ALVES LIMA / JHONATAN MATHEUS SOUSA COSTA / LUIZ CLAUDIO DEMES DA MATA SOUSA / MÁRIO SÉRGIO COELHO MARROQUIM / RAFAEL MELO SANTOS DE SERPA BRANDÃO / RICARDO MARTINS RAMOS / SEMIRAMIS JAMIL HADAD DO MONTE,-,,
IFPI ,BR 51 2019 002079 0,19/9/2019,SEMINFO CAOEI, HTML / JAVA SCRIPT, IF-01 / IF-07 (Informaçäo -  Ciênc Info),AP-01 APLICATIVO - APLICATIVOS,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ",FABIO LUIZ ALMEIDA ROLIM / RAILMA RODRIGUES DOS SANTOS / THIAGO ANTONIO ALVES / WELISSON DA SILVA MOURA,-,,
IFPI ,BR 51 2018 052334 0,07/12/2018,CardapioCapau,JAVA,SV-01 (Serviços,AP-01 APLICATIVO - APLICATIVOS,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ",CÍCERO EDUARDO DE SOUSA WALTER / DANIEL LEITE VIANA COSTA / FÁBIO LUIZ ALMEIDA ROLIM / HUMBÉRILA DA COSTA E SILVA MELO / MARINA BEZERRA DA SILVA / RAILMA RODRIGUES DOS SANTOS / ROBSON ALMEIDA BORGES DE FREITAS / SEBASTIÃO PEREIRA DO NASCIMENTO,-,,
IFPI ,BR 51 2018 052322 6,07/12/2018,StockV3,JAVA SCRIPT / PHP / SQL,AD-08 (Adm Materl," AP-03 , AT-01 , FA-01 ( Controle -  Automaçäo -  Ferramenta de Apoio)","INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ",CÍCERO EDUARDO DE SOUSA WALTER / DANIEL LEITE VIANA COSTA / FÁBIO LUIZ ALMEIDA ROLIM / HUMBÉRILA DA COSTA E SILVA MELO / MARINA BEZERRA DA SILVA / RAILMA RODRIGUES DOS SANTOS / ROBSON ALMEIDA BORGES DE FREITAS / SEBASTIÃO PEREIRA DO NASCIMENTO,-,,
IFPI ,BR 51 2018 052319 6,07/12/2018,nWin: Gerador de apostas lotéricas,JAVA," FN-05 / IF-10 (Adm Finan, Genérico )"," ET-04 , FA-01 (Simuladores - Ferrm Apoio)","INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ",  CÍCERO EDUARDO DE SOUSA WALTER / DANIEL LEITE VIANA COSTA / FÁBIO LUIZ ALMEIDA ROLIM / HUMBÉRILA DA COSTA E SILVA MELO / MARINA BEZERRA DA SILVA / RAILMA RODRIGUES DOS SANTOS / ROBSON ALMEIDA BORGES DE FREITAS / SEBASTIÃO PEREIRA DO NASCIMENTO,-,,
IFPI ,BR 51 2018 052316 1,7/12/2018,GeNe,EXCEL, AD-05 / EC-14 ( Adm Empres -  Empresa ),FA-03 ( Planilhas Eletrônicas),"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ", CÍCERO EDUARDO DE SOUSA WALTER / DANIEL LEITE VIANA COSTA / FÁBIO LUIZ ALMEIDA ROLIM / HUMBÉRILA DA COSTA E SILVA MELO / MARINA BEZERRA DA SILVA / RAILMA RODRIGUES DOS SANTOS / ROBSON ALMEIDA BORGES DE FREITAS / SEBASTIÃO PEREIRA DO NASCIMENTO,-,,
IFPI ,BR 51 2018 052133 9,19/11/2018,Production Game, EXCEL,AD-06 (Adm Prod,FA-03 ( Planilhas Eletrônicas),"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ",CÍCERO EDUARDO DE SOUSA WALTER / FÁBIO LUIZ ALMEIDA ROLIM / MARINA BEZERRA DA SILVA / ROBSON ALMEIDA BORGES DE FREITAS / SEBASTIÃO PEREIRA DO NASIMENTO,-,,
IFPI ,BR 51 2018 001511 5,23/08/2018,Irrigafacil,JAVA, AG-01 / AG-04 ( Agricultura - Economia agrícola),AP-01 (APLICATIVO - APLICATIVOS),"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ", FABIO LUIZ ALMEIDA ROLIM / MARINA BEZERRA DA SILVA / ROBSON ALMEIDA BORGES DE FREITAS / SEBASTIÃO PEREIRA DO NASIMENTO44444444444444444444444444444444444444444444444444,-,,
IFPI ,BR 51 2018 001468 2,17/08/2018,Optimus-report,JAVA SCRIPT / PHP / POSTGREE SQL / SQL, AD-05 / FN-06 4(Adm Empres -Contabilide )," AP-01 , AP-02 , AP-03 , AP-05 , AT-03, AV-01 , AV-02 , FA-01, FA-04 , GI-01 , GI-04 ()","INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ",FÁBIO LUIZ ALMEIDA ROLIM / MARINA BEZERRA DA SILVA,-,,
IFPI ,BR 51 2018 001467 4,17/08/2018,HELPFISH, JAVA SCRIPT, AG-01 / AG-14 / FN-05 / SV-03,"AP-01 , AP-02 , AP-03","INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ", CÍCERO EDUARDO DE SOUSA WALTER / FÁBIO LUIZ,-,,
IFPI ,BR 51 2016 001627 2,17/11/2016,SISTEMA DE MURAL ELETRÔNICO SIMPLIFICADO,BOOTSTRAP / CSS3 / HTML5 / JQUERY / JS / MYSQL / PHP,CO-04 (Comunicaçao),GI-02 ( Gerenciador de Banco de Dados),"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ",ROBSON PIRES BORGES,-,,
IFPI ,BR 51 2016 001628 0,17/11/2016,SISTEMA DE CAMPAINHA AUTOMATIZADA,DELPHI / PASCAL,TB-01(Trabalho),AT-01 (Automaçäo) ,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ",ROBSON PIRES BORGES,-,,
IFPI ,BR 51 2015 000293 7,23/03/2015,THMONITOR,  HTML / JAVASCRIPT / PHP, IF-02 / IN-03 / SD-02 / SD-09 / SD-10," AT-01 , FA-01 , GI-01 , GI-04 , IT-03","INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ",ALEXANDRE TOLSTENKO NOGUEIRA / ARATÂ ANDRADE SARAIVA / AYRTON DE SÁ BRANDIM / FELIPE RESENDE GOMES / FLÁVIO ALVES DOS SANTOS / FRANCISCO MARCELINO ALMEIDA DE ARAÚJO / PABLO HENRIQUE RIBEIRO BEZERRA444444,-,,
IFPI ,BR 51 2015 000294 5,23/03/2015,STRABIMUS," JAVA SCRIPT / XML,C#,SHADER / YAML,JSON", IF-02 / IN-03 / SD-03," AT-01 , FA-01 , GI-01 , GI-04 , IT-03","INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ",ALEXANDRE TOLSTENKO NOGUEIRA / ARATÂ ANDRADE SARAIVA / AYRTON DE SÁ BRANDIM / FELIPE RESENDE GOMES / FLÁVIO ALVES DOS SANTOS / FRANCISCO MARCELINO ALMEIDA DE ARAÚJO / PABLO HENRIQUE RIBEIRO BEZERRA,-,,
ISEAF,NÃO TEM NENHUM DADO NO INPI,,,,,,,,,,
,,,,,,,,,,,
,,,DADOS 2024,,,,,,,,
UFDPAR,BR 51 2024 000994 9,28/03/2024,PLASTIC SURGERY REHABILITATION, CSS / HTML / JAVA SCRIPT,SD-06,AP-01 (Aplicativos),"UNIVERSIDADE FEDERAL DO DELTA DO PARNAÍBA
 ANDRESSA ARAÚJO RODRIGUES DA SILVA / ARIEL SOARES TELES / DANIEL DA SILVA FARIAS / JACKS RENAN NEVES FERNANDES /",,,,
